District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio, Affordability ,Strike
MANHATTAN BEACH UNIFIED,California,6776,0.02,0.13,25.66,1.07,0.23,0
DRY CREEK JOINT ELEMENTARY,California,6728,0.17,0.11,22.52,0.939,0.16,0
EL DORADO UNION HIGH,California,6649,0.01,0.13,23.18,1.072,0.16,0
DINUBA UNIFIED,California,6586,0.33,0.07,23.96,0.961,0.13,0
UKIAH UNIFIED,California,6579,0.26,0.12,22.22,1.055,0.19,0
MOORPARK UNIFIED,California,6472,0.16,0.14,22.77,1.012,0.3,0
FOUNTAIN VALLEY ELEMENTARY,California,6387,0.14,0.08,26.67,0.993,0.26,0
LAKESIDE UNION ELEMENTARY,California,6313,0.05,0.13,24.95,1.139,0.29,0
SAN GABRIEL UNIFIED,California,6302,0.24,0.1,21.6,0.998,0.26,0
MAGNOLIA ELEMENTARY,California,6277,0.52,0.1,25.99,1.05,0.25,0
COTATI-ROHNERT PARK UNIFIED,California,6272,0.18,0.12,21.51,1.089,0.35,0
BARSTOW UNIFIED,California,6154,0.11,0.14,25.95,0.867,0.18,0
WHITTIER CITY ELEMENTARY,California,6075,0.19,0.16,24.7,1.047,0.25,0
EL CENTRO ELEMENTARY,California,6049,0.41,0.12,25.55,0.94,0.12,0
LAWNDALE ELEMENTARY,California,6028,0.35,0.12,22.72,0.995,0.22,0
ALTA LOMA ELEMENTARY,California,5988,0.06,0.12,26.33,0.906,0.17,0
PERRIS ELEMENTARY,California,5963,0.5,0.09,24.14,0.982,0.16,0
HANFORD ELEMENTARY,California,5954,0.25,0.11,24.02,0.934,0.15,0
NATIONAL ELEMENTARY,California,5928,0.52,0.11,23.41,1.047,0.28,0
BREA-OLINDA UNIFIED,California,5909,0.1,0.1,26.03,0.737,0.28,0
TEMPLE CITY UNIFIED,California,5884,0.2,0.09,24.09,1.04,0.24,0
NEWARK UNIFIED,California,5845,0.23,0.12,27.2,0.903,0.32,0
UNION ELEMENTARY,California,5751,0.12,0.11,23.9,0.889,0.36,0
SHASTA UNION HIGH,California,5731,0.01,0.09,22.23,1.004,0.15,0
ROSEDALE UNION ELEMENTARY,California,5619,0.05,0.11,22.14,1.012,0.15,0
MONROVIA UNIFIED,California,5616,0.13,0.13,22.94,0.969,0.25,0
TRAVIS UNIFIED,California,5564,0.04,0.12,24.99,0.992,0.22,0
RAMONA CITY UNIFIED,California,5546,0.15,0.15,24.91,1.029,0.3,0
ACALANES UNION HIGH,California,5530,0.02,0.1,20.67,1.009,0.31,0
TULARE JOINT UNION HIGH,California,5486,0.14,0.08,24.05,0.99,0.12,0
SANTA PAULA UNIFIED,California,5454,0.38,0.15,22.46,1.077,0.27,0
ENCINITAS UNION ELEMENTARY,California,5313,0.1,0.13,24.94,0.934,0.27,0
ORCUTT UNION ELEMENTARY,California,5274,0.12,0.11,25.52,1.029,0.3,0
WINDSOR UNIFIED,California,5225,0.19,0.16,21.29,0.925,0.35,0
BUCKEYE UNION ELEMENTARY,California,5216,0.03,0.13,24.11,1.043,0.17,0
RIO ELEMENTARY,California,5142,0.48,0.12,23.2,1.062,0.27,0
KERMAN UNIFIED,California,5134,0.37,0.11,24.56,0.96,0.16,0
SIERRA SANDS UNIFIED,California,5020,0.08,0.13,22.67,0.939,0.17,0
OAKLEY UNION ELEMENTARY,California,5015,0.15,0.15,22.61,0.975,0.38,0
FALLBROOK UNION ELEMENTARY,California,5006,0.32,0.16,24.07,0.996,0.28,0
ATWATER ELEMENTARY,California,4964,0.29,0.12,28.98,0.936,0.12,0
SAN LORENZO VALLEY UNIFIED,California,4921,0.01,0.11,24.31,0.838,0.34,0
CHARTER OAK UNIFIED,California,4896,0.1,0.14,23.99,1.05,0.23,0
JEFFERSON UNION HIGH,California,4862,0.13,0.11,22.48,1.15,0.54,0
BENICIA UNIFIED,California,4856,0.03,0.1,22.83,0.937,0.21,0
SOLEDAD UNIFIED,California,4856,0.42,0.13,24.85,1,0.24,0
BUENA PARK ELEMENTARY,California,4837,0.4,0.11,24.72,1.077,0.25,0
SAN YSIDRO ELEMENTARY,California,4815,0.63,0.13,25.5,1.042,0.27,0
GARVEY ELEMENTARY,California,4805,0.42,0.11,23.92,0.956,0.23,0
SOUTH PASADENA UNIFIED,California,4779,0.07,0.08,23.95,0.996,0.24,0
SAN RAFAEL CITY ELEMENTARY,California,4758,0.51,0.11,27.33,0.757,0.48,0
LA HABRA CITY ELEMENTARY,California,4726,0.33,0.13,25.8,1.017,0.25,0
TAMALPAIS UNION HIGH,California,4693,0.02,0.11,18.16,0.938,0.37,0
BURTON ELEMENTARY,California,4681,0.24,0.07,23.62,0.994,0.14,0
ATASCADERO UNIFIED,California,4636,0.08,0.12,23.39,1.223,0.25,0
NORTH MONTEREY COUNTY UNIFIED,California,4613,0.43,0.11,23.66,0.97,0.23,0
NEW JERUSALEM ELEMENTARY,California,4588,0.04,0.1,20.37,1.105,0.19,0
OAK PARK UNIFIED,California,4584,0.05,0.08,23.86,1.149,0.24,0
SONOMA VALLEY UNIFIED,California,4564,0.32,0.15,20.31,1.025,0.34,0
BANNING UNIFIED,California,4541,0.18,0.13,22.65,0.933,0.19,0
CENTRAL ELEMENTARY,California,4539,0.12,0.14,24.36,1.028,0.19,0
LOS ALTOS ELEMENTARY,California,4527,0.13,0.09,22.25,0.953,0.35,0
CENTER JOINT UNIFIED,California,4477,0.17,0.16,23.67,0.939,0.17,0
LITTLE LAKE CITY ELEMENTARY,California,4454,0.18,0.11,22.81,1.109,0.26,0
CENTRALIA ELEMENTARY,California,4417,0.34,0.13,25.83,1.009,0.25,0
DEL MAR UNION ELEMENTARY,California,4413,0.1,0.16,22.62,0.928,0.25,0
TEHACHAPI UNIFIED,California,4396,0.07,0.13,27.94,0.927,0.17,0
PARADISE UNIFIED,California,4258,0.02,0.14,21.36,0.969,0.18,0
DELANO JOINT UNION HIGH,California,4224,0.29,0.09,22.62,0.974,0.15,0
RIPON UNIFIED,California,4219,0.09,0.11,26.02,1.203,0.17,0
LOOMIS UNION ELEMENTARY,California,4193,0.02,0.07,22.92,0.889,0.18,0
LINDSAY UNIFIED,California,4191,0.52,0.07,23.79,1.024,0.13,0
TAHOE-TRUCKEE UNIFIED,California,4153,0.17,0.12,20.15,0.932,0.16,0
MARTINEZ UNIFIED,California,4143,0.08,0.11,22.01,1.058,0.39,0
LA CANADA UNIFIED,California,4132,0.05,0.08,24.05,0.981,0.23,0
CUTLER-OROSI JOINT UNIFIED,California,4126,0.45,0.06,22.66,0.918,0.14,0
IMPERIAL UNIFIED,California,4122,0.23,0.11,24.84,1.018,0.12,0
CENTRAL UNION HIGH,California,4119,0.25,0.1,23.46,0.888,0.12,0
PLACER UNION HIGH,California,4074,0.02,0.09,22.8,0.896,0.17,0
VALLEY CENTER-PAUMA UNIFIED,California,4069,0.24,0.14,22.88,1.003,0.27,0
BEVERLY HILLS UNIFIED,California,4023,0.06,0.13,17.01,1.354,0.22,0
BRAWLEY ELEMENTARY,California,3992,0.33,0.13,24.49,1.144,0.11,0
WATERFORD UNIFIED,California,3989,0.14,0.11,22.85,0.973,0.16,0
CYPRESS ELEMENTARY,California,3969,0.15,0.1,26.95,0.993,0.26,0
LAKE TAHOE UNIFIED,California,3951,0.26,0.13,20.36,1,0.18,0
